Location,Time,Direction,VehicleType,Speed
Pori,2018-04-01 00:13:13,1,passenger_car,91
Pori,2018-04-01 00:13:15,1,passenger_car,94
Pori,2018-04-01 00:13:33,1,passenger_car,96
Nakkila,2018-04-01 00:13:55,1,passenger_car,71
Vihti,2018-04-01 00:13:59,2,passenger_car,118
Pori,2018-04-01 00:14:01,1,passenger_car,91
Pori,2018-04-01 00:14:28,2,passenger_car,96
Nakkila,2018-04-01 00:14:31,2,passenger_car,82
Vihti,2018-04-01 00:14:33,1,passenger_car,126
Pori,2018-04-01 00:14:39,2,passenger_car,104
Pori,2018-04-01 00:14:44,2,passenger_car,103
Pori,2018-04-01 00:14:50,2,passenger_car,108
Pori,2018-04-01 00:14:55,1,passenger_car,89
Nakkila,2018-04-01 00:15:11,2,passenger_car,67
Nakkila,2018-04-01 00:15:28,1,passenger_car,77
Vihti,2018-04-01 00:15:31,1,passenger_car,104
Pori,2018-04-01 00:15:40,2,passenger_car,102
Vihti,2018-04-01 00:15:48,1,passenger_car,99
Pori,2018-04-01 00:15:55,1,passenger_car,106
Nakkila,2018-04-01 00:15:57,2,passenger_car,81
Pori,2018-04-01 00:16:04,1,passenger_car,90
Nakkila,2018-04-01 00:16:05,1,passenger_car,75
Pori,2018-04-01 00:16:10,2,passenger_car,101
Pori,2018-04-01 00:16:11,2,passenger_car,99
Nakkila,2018-04-01 00:16:17,1,passenger_car,74
Vihti,2018-04-01 00:16:25,2,"truck, trailer",79
Vihti,2018-04-01 00:16:28,2,passenger_car,116
Nakkila,2018-04-01 00:16:29,1,passenger_car,80
Pori,2018-04-01 00:16:33,1,passenger_car,105
Pori,2018-04-01 00:16:33,1,passenger_car,111
Nakkila,2018-04-01 00:16:53,1,"passenger_car, trailer",90
Pori,2018-04-01 00:16:57,1,passenger_car,98
Nakkila,2018-04-01 00:17:11,2,passenger_car,79
Karkkila,2018-04-01 00:17:27,1,passenger_car,79
Vihti,2018-04-01 00:17:29,2,passenger_car,103
Vihti,2018-04-01 00:17:30,1,passenger_car,101
Pori,2018-04-01 00:17:35,2,passenger_car,100
Pori,2018-04-01 00:17:41,1,passenger_car,91
Nakkila,2018-04-01 00:17:44,1,passenger_car,80
Nakkila,2018-04-01 00:17:55,2,passenger_car,87
Pori,2018-04-01 00:18:17,1,passenger_car,80
Karkkila,2018-04-01 00:18:32,1,passenger_car,93
Pori,2018-04-01 00:18:34,1,passenger_car,93
Vihti,2018-04-01 00:18:35,2,passenger_car,101
Pori,2018-04-01 00:18:43,1,passenger_car,123
Vihti,2018-04-01 00:18:55,1,"passenger_car, trailer",84
Nakkila,2018-04-01 00:18:57,1,passenger_car,78
Pori,2018-04-01 00:19:03,2,passenger_car,95
Nakkila,2018-04-01 00:19:03,1,passenger_car,77
Pori,2018-04-01 00:19:16,1,passenger_car,95
Pori,2018-04-01 00:19:18,1,passenger_car,89
Pori,2018-04-01 00:19:30,2,passenger_car,104
Nakkila,2018-04-01 00:19:31,2,passenger_car,83
Vihti,2018-04-01 00:19:41,1,passenger_car,99
Vihti,2018-04-01 00:19:43,1,passenger_car,103
Pori,2018-04-01 00:20:04,1,passenger_car,77
Vihti,2018-04-01 00:20:31,2,passenger_car,82
Pori,2018-04-01 00:20:40,1,passenger_car,103
Nakkila,2018-04-01 00:20:42,1,passenger_car,67
Vihti,2018-04-01 00:20:42,1,passenger_car,96
Nakkila,2018-04-01 00:21:00,1,passenger_car,79
Nakkila,2018-04-01 00:21:07,1,passenger_car,76
Nakkila,2018-04-01 00:21:19,1,passenger_car,79
Vihti,2018-04-01 00:21:35,1,passenger_car,87
Vihti,2018-04-01 00:21:36,2,passenger_car,98
Pori,2018-04-01 00:21:44,2,passenger_car,128
Pori,2018-04-01 00:21:45,2,passenger_car,105
Pori,2018-04-01 00:21:46,2,passenger_car,146
Vihti,2018-04-01 00:21:47,2,passenger_car,90
Pori,2018-04-01 00:22:16,1,passenger_car,97
Nakkila,2018-04-01 00:22:47,2,passenger_car,87
Pori,2018-04-01 00:22:54,1,passenger_car,100
Pori,2018-04-01 00:23:00,2,passenger_car,102
Karkkila,2018-04-01 00:23:02,2,passenger_car,81
Vihti,2018-04-01 00:23:13,2,passenger_car,99
Pori,2018-04-01 00:23:30,2,"truck, trailer",85
Karkkila,2018-04-01 00:23:33,2,passenger_car,90
Vihti,2018-04-01 00:23:35,1,passenger_car,100
Pori,2018-04-01 00:24:23,1,passenger_car,92
Nakkila,2018-04-01 00:24:27,1,passenger_car,83
Pori,2018-04-01 00:24:35,2,passenger_car,98
